,Order_ID,Customer_ID,Order_Date,Product,Category,Quantity,Unit_Price,Payment_Method,Order_Status,City,Total_Amount,Year,Month,Day
158,159,4581,2024-03-17,Tablet,Electronics,6,769.94,PayPal,Completed,Kolkata,4619.64,2024,3,17
161,162,2636,2024-07-17,Camera,Electronics,17,947.94,PayPal,Completed,Kolkata,16114.98,2024,7,17
166,167,9164,2024-12-03,Shoes,Electronics,5,2197.06,UPI,Completed,Hyderabad,10985.3,2024,12,3
168,169,8392,2023-07-03,TV,Electronics,22,1620.89,Debit Card,Completed,Kolkata,35659.58,2023,7,3
173,174,6791,2024-10-10,Shoes,Electronics,15,508.29,UPI,Completed,Bangalore,7624.35,2024,10,10
175,176,5931,2023-10-23,TV,Electronics,3,1568.28,PayPal,Completed,Pune,4704.84,2023,10,23
179,180,9958,2024-04-04,Mobile,Electronics,23,312.19,Credit Card,Completed,Mumbai,7180.37,2024,4,4
180,181,5389,2023-10-06,Camera,Electronics,4,1581.93,UPI,Completed,Mumbai,6327.72,2023,10,6
181,182,3327,2023-09-09,Shoes,Electronics,13,1954.48,Debit Card,Completed,Kolkata,25408.24,2023,9,9
194,195,8098,2023-01-12,Tablet,Electronics,14,1829.32,Debit Card,Completed,Delhi,25610.48,2023,1,12
196,197,2986,2023-05-02,Mobile,Electronics,9,913.41,Debit Card,Completed,Bangalore,8220.69,2023,5,2
206,207,3385,2023-11-07,Watch,Electronics,12,575.63,Credit Card,Completed,Delhi,6907.56,2023,11,7
208,209,2802,2024-11-23,Shoes,Electronics,20,2472.2,Debit Card,Completed,Bangalore,49444.0,2024,11,23
218,219,6423,2024-07-13,TV,Electronics,20,1175.82,Debit Card,Completed,Bangalore,23516.4,2024,7,13
220,221,4108,2023-05-10,Watch,Electronics,6,1493.88,PayPal,Completed,Hyderabad,8963.28,2023,5,10
222,223,8400,2023-11-23,Tablet,Electronics,4,1815.13,UPI,Completed,Chennai,7260.52,2023,11,23
228,229,7197,2023-01-21,Shoes,Electronics,9,2348.91,Credit Card,Returned,Delhi,21140.19,2023,1,21
233,234,3557,2023-05-29,Shoes,Electronics,22,1074.25,Cash,Cancelled,Kolkata,23633.5,2023,5,29
234,235,6592,2024-03-12,Shoes,Electronics,20,1928.7,Debit Card,Completed,Pune,38574.0,2024,3,12
235,236,1098,2024-05-13,TV,Electronics,14,2054.29,UPI,Completed,Kolkata,28760.06,2024,5,13
242,243,9352,2023-10-09,Laptop,Electronics,14,1559.6,Cash,Cancelled,Kolkata,21834.4,2023,10,9
248,249,7015,2023-05-13,Shoes,Electronics,16,2218.96,Cash,Completed,Pune,35503.36,2023,5,13
251,252,5735,2024-08-18,Camera,Electronics,12,1868.96,Cash,Completed,Pune,22427.52,2024,8,18
256,257,7893,2024-07-17,Mobile,Electronics,10,908.04,Credit Card,Completed,Bangalore,9080.4,2024,7,17
257,258,2693,2023-10-16,Laptop,Electronics,6,2444.84,Credit Card,Completed,Bangalore,14669.04,2023,10,16
274,275,4444,2024-10-02,Laptop,Electronics,11,1098.24,Credit Card,Completed,Bangalore,12080.64,2024,10,2
276,277,3327,2024-06-28,Watch,Electronics,13,779.17,UPI,Completed,Bangalore,10129.21,2024,6,28
282,283,6088,2023-07-22,Watch,Electronics,18,1464.83,PayPal,Completed,Pune,26366.94,2023,7,22
286,287,7102,2023-07-29,Laptop,Electronics,6,1127.8,Debit Card,Completed,Hyderabad,6766.8,2023,7,29
288,289,4327,2024-04-04,Headphones,Electronics,22,899.31,Credit Card,Completed,Pune,19784.82,2024,4,4
293,294,7709,2023-09-22,Laptop,Electronics,11,1499.76,Debit Card,Completed,Hyderabad,16497.36,2023,9,22
297,298,3733,2024-12-28,Headphones,Electronics,23,1887.22,UPI,Completed,Chennai,43406.06,2024,12,28
298,299,4863,2023-03-24,Laptop,Electronics,24,1526.72,UPI,Completed,Hyderabad,36641.28,2023,3,24
299,300,8455,2024-08-12,Laptop,Electronics,14,619.34,PayPal,Completed,Mumbai,8670.76,2024,8,12
307,308,9096,2023-02-02,Camera,Electronics,18,979.03,Credit Card,Cancelled,Bangalore,17622.54,2023,2,2
315,316,6986,2023-02-15,Watch,Electronics,15,1836.23,UPI,Completed,Pune,27543.45,2023,2,15
316,317,2841,2024-09-16,Mobile,Electronics,8,1889.6,Credit Card,Completed,Bangalore,15116.8,2024,9,16
318,319,7971,2024-02-06,TV,Electronics,3,1805.82,Cash,Completed,Delhi,5417.46,2024,2,6
321,322,8992,2024-02-14,Camera,Electronics,19,851.84,UPI,Returned,Pune,16184.96,2024,2,14
328,329,7614,2024-04-01,Watch,Electronics,22,743.23,PayPal,Returned,Delhi,16351.06,2024,4,1
330,331,1853,2024-05-28,Headphones,Electronics,24,2369.16,UPI,Completed,Bangalore,56859.84,2024,5,28
334,335,2148,2023-08-16,Laptop,Electronics,18,1555.26,Credit Card,Cancelled,Bangalore,27994.68,2023,8,16
347,348,5869,2024-07-08,Watch,Electronics,19,1369.79,Debit Card,Completed,Delhi,26026.01,2024,7,8
348,349,1876,2023-09-26,TV,Electronics,16,532.16,Debit Card,Completed,Delhi,8514.56,2023,9,26
349,350,8027,2023-07-28,Laptop,Electronics,21,391.01,Cash,Completed,Bangalore,8211.21,2023,7,28
355,356,5465,2023-05-16,Shoes,Electronics,20,402.82,PayPal,Completed,Hyderabad,8056.4,2023,5,16
359,360,9311,2024-03-14,Tablet,Electronics,9,2449.13,PayPal,Completed,Mumbai,22042.17,2024,3,14
378,379,5070,2024-09-19,Camera,Electronics,17,2027.61,PayPal,Completed,Mumbai,34469.37,2024,9,19
389,390,3141,2023-12-20,Mobile,Electronics,6,1866.87,PayPal,Returned,Bangalore,11201.22,2023,12,20
405,406,7303,2024-01-20,Watch,Electronics,5,2126.34,Cash,Cancelled,Mumbai,10631.7,2024,1,20
415,416,9002,2023-05-29,Headphones,Electronics,5,1689.75,UPI,Completed,Chennai,8448.75,2023,5,29
436,437,1412,2023-03-25,Camera,Electronics,24,1083.77,Debit Card,Completed,Hyderabad,26010.48,2023,3,25
438,439,8587,2023-03-27,Tablet,Electronics,11,1671.84,Debit Card,Completed,Kolkata,18390.24,2023,3,27
440,441,8164,2024-12-19,Mobile,Electronics,18,296.85,UPI,Completed,Bangalore,5343.3,2024,12,19
445,446,3786,2024-01-12,Headphones,Electronics,19,1930.58,PayPal,Completed,Hyderabad,36681.02,2024,1,12
450,451,6104,2023-01-15,Watch,Electronics,18,1239.0,UPI,Completed,Delhi,22302.0,2023,1,15
452,453,7806,2023-07-07,TV,Electronics,15,1657.49,Cash,Completed,Pune,24862.35,2023,7,7
479,480,5491,2024-12-24,Camera,Electronics,4,1820.03,UPI,Completed,Bangalore,7280.12,2024,12,24
486,487,3156,2024-03-19,Laptop,Electronics,23,1583.14,UPI,Completed,Chennai,36412.22,2024,3,19
497,498,7801,2023-02-25,TV,Electronics,21,2150.0,UPI,Completed,Mumbai,45150.0,2023,2,25
498,499,5846,2024-07-11,Watch,Electronics,20,1656.07,Debit Card,Cancelled,Delhi,33121.4,2024,7,11
502,503,3539,2023-11-14,Shoes,Electronics,9,1545.45,Cash,Cancelled,Mumbai,13909.05,2023,11,14
513,514,2365,2024-01-03,Headphones,Electronics,9,2325.98,Cash,Completed,Hyderabad,20933.82,2024,1,3
521,522,4486,2023-12-02,Shoes,Electronics,14,524.94,Debit Card,Completed,Mumbai,7349.16,2023,12,2
536,537,7530,2024-05-18,Headphones,Electronics,19,431.85,Cash,Completed,Delhi,8205.15,2024,5,18
543,544,6029,2024-06-29,Camera,Electronics,24,1858.74,Credit Card,Completed,Pune,44609.76,2024,6,29
546,547,4627,2023-02-26,Mobile,Electronics,22,614.95,PayPal,Completed,Pune,13528.9,2023,2,26
561,562,9662,2023-01-17,Headphones,Electronics,19,1756.68,Credit Card,Completed,Bangalore,33376.92,2023,1,17
567,568,8575,2023-11-23,TV,Electronics,5,1066.0,Debit Card,Completed,Kolkata,5330.0,2023,11,23
569,570,5468,2024-05-14,Mobile,Electronics,20,1826.65,UPI,Completed,Bangalore,36533.0,2024,5,14
579,580,8102,2023-11-15,Tablet,Electronics,9,2053.93,Cash,Completed,Hyderabad,18485.37,2023,11,15
585,586,1924,2023-04-01,Tablet,Electronics,5,1194.75,Credit Card,Cancelled,Kolkata,5973.75,2023,4,1
586,587,2581,2024-11-28,Watch,Electronics,10,1509.63,UPI,Completed,Chennai,15096.3,2024,11,28
596,597,9989,2023-12-30,Laptop,Electronics,20,1301.56,PayPal,Cancelled,Kolkata,26031.2,2023,12,30
601,602,3193,2024-11-09,Tablet,Electronics,3,1659.26,Credit Card,Returned,Chennai,4977.78,2024,11,9
608,609,5784,2023-11-30,Headphones,Electronics,20,727.35,PayPal,Completed,Mumbai,14547.0,2023,11,30
624,625,8245,2024-03-26,TV,Electronics,22,1266.79,Cash,Returned,Hyderabad,27869.38,2024,3,26
628,629,5780,2023-01-28,Watch,Electronics,8,1686.01,Debit Card,Cancelled,Kolkata,13488.08,2023,1,28
634,635,4419,2024-01-10,Mobile,Electronics,7,1039.14,UPI,Completed,Delhi,7273.98,2024,1,10
638,639,1770,2023-01-25,Watch,Electronics,9,760.31,Debit Card,Completed,Pune,6842.79,2023,1,25
640,641,2077,2023-03-07,Laptop,Electronics,8,2383.84,Cash,Completed,Hyderabad,19070.72,2023,3,7
650,651,7996,2023-07-06,Headphones,Electronics,18,2041.25,Cash,Completed,Kolkata,36742.5,2023,7,6
655,656,7241,2023-03-10,Mobile,Electronics,24,2198.95,Credit Card,Completed,Delhi,52774.8,2023,3,10
662,663,6115,2024-10-26,Mobile,Electronics,5,1842.83,Debit Card,Completed,Hyderabad,9214.15,2024,10,26
663,664,5637,2023-06-29,Shoes,Electronics,24,1505.54,Cash,Completed,Kolkata,36132.96,2023,6,29
677,678,5164,2024-08-20,TV,Electronics,9,539.27,Credit Card,Completed,Bangalore,4853.43,2024,8,20
699,700,8570,2024-08-11,Tablet,Electronics,21,1244.96,Cash,Cancelled,Kolkata,26144.16,2024,8,11
706,707,7981,2023-08-04,Mobile,Electronics,4,2213.55,Debit Card,Completed,Mumbai,8854.2,2023,8,4
710,711,3593,2024-06-18,Shoes,Electronics,12,708.13,UPI,Completed,Hyderabad,8497.56,2024,6,18
711,712,8240,2023-11-17,Tablet,Electronics,15,1058.76,UPI,Cancelled,Hyderabad,15881.4,2023,11,17
719,720,5432,2024-11-02,Camera,Electronics,10,1133.48,Debit Card,Returned,Pune,11334.8,2024,11,2
720,721,2276,2023-03-28,Watch,Electronics,4,1145.54,Cash,Cancelled,Kolkata,4582.16,2023,3,28
721,722,6811,2023-01-07,Camera,Electronics,16,2383.3,UPI,Completed,Pune,38132.8,2023,1,7
723,724,1638,2023-07-02,Headphones,Electronics,24,405.52,Credit Card,Completed,Kolkata,9732.48,2023,7,2
725,726,9717,2023-10-26,Mobile,Electronics,21,295.12,PayPal,Completed,Kolkata,6197.52,2023,10,26
736,737,7506,2023-08-28,Camera,Electronics,14,913.02,UPI,Completed,Hyderabad,12782.28,2023,8,28
744,745,2906,2024-12-25,Mobile,Electronics,21,1184.65,PayPal,Completed,Kolkata,24877.65,2024,12,25
746,747,9152,2024-01-05,Headphones,Electronics,22,641.4,Credit Card,Returned,Pune,14110.8,2024,1,5
747,748,6750,2023-04-30,Tablet,Electronics,4,1662.19,Credit Card,Completed,Delhi,6648.76,2023,4,30
752,753,7229,2023-05-12,TV,Electronics,9,1140.54,Debit Card,Cancelled,Delhi,10264.86,2023,5,12
766,767,7738,2023-09-18,Shoes,Electronics,15,1421.98,UPI,Completed,Hyderabad,21329.7,2023,9,18
771,772,1876,2024-12-01,Watch,Electronics,20,588.76,Debit Card,Returned,Kolkata,11775.2,2024,12,1
777,778,7767,2024-11-18,Tablet,Electronics,20,268.49,Debit Card,Returned,Hyderabad,5369.8,2024,11,18
783,784,2063,2024-08-10,TV,Electronics,12,415.62,PayPal,Completed,Hyderabad,4987.44,2024,8,10
785,786,6342,2024-01-04,TV,Electronics,19,398.76,Credit Card,Cancelled,Kolkata,7576.44,2024,1,4
790,791,6966,2023-02-24,Shoes,Electronics,9,2196.76,Debit Card,Completed,Mumbai,19770.84,2023,2,24
792,793,1117,2023-11-09,Mobile,Electronics,7,1463.93,UPI,Completed,Bangalore,10247.51,2023,11,9
805,806,2828,2023-03-01,TV,Electronics,5,2472.99,Cash,Cancelled,Bangalore,12364.95,2023,3,1
807,808,5234,2024-06-13,Shoes,Electronics,10,969.17,UPI,Completed,Mumbai,9691.7,2024,6,13
808,809,7988,2023-04-07,Tablet,Electronics,12,2265.77,Cash,Completed,Hyderabad,27189.24,2023,4,7
809,810,3026,2023-03-07,Mobile,Electronics,22,759.21,PayPal,Completed,Kolkata,16702.62,2023,3,7
810,811,4744,2023-01-31,Camera,Electronics,16,1282.17,Cash,Completed,Delhi,20514.72,2023,1,31
811,812,1009,2023-05-28,Tablet,Electronics,18,2056.76,Credit Card,Completed,Kolkata,37021.68,2023,5,28
814,815,3219,2023-09-01,Headphones,Electronics,12,2228.26,Cash,Completed,Kolkata,26739.12,2023,9,1
818,819,2619,2023-12-22,Laptop,Electronics,5,1171.13,Credit Card,Completed,Hyderabad,5855.65,2023,12,22
826,827,2604,2023-05-04,Camera,Electronics,5,1552.38,Credit Card,Completed,Pune,7761.9,2023,5,4
827,828,1235,2023-07-06,Headphones,Electronics,20,1069.32,Credit Card,Completed,Kolkata,21386.4,2023,7,6
830,831,4530,2023-02-04,Headphones,Electronics,5,2488.45,Debit Card,Cancelled,Mumbai,12442.25,2023,2,4
831,832,6256,2023-09-10,TV,Electronics,22,2294.95,Credit Card,Completed,Hyderabad,50488.9,2023,9,10
832,833,3635,2024-04-19,Camera,Electronics,7,786.65,UPI,Completed,Delhi,5506.55,2024,4,19
834,835,3560,2024-06-05,Watch,Electronics,10,2007.44,PayPal,Completed,Bangalore,20074.4,2024,6,5
845,846,1077,2024-10-26,Watch,Electronics,3,1467.52,Credit Card,Completed,Chennai,4402.56,2024,10,26
846,847,8577,2023-08-10,Tablet,Electronics,15,2199.03,Credit Card,Completed,Hyderabad,32985.45,2023,8,10
848,849,1600,2024-04-17,Camera,Electronics,10,1835.3,Cash,Returned,Mumbai,18353.0,2024,4,17
856,857,5670,2023-07-08,Mobile,Electronics,12,2222.41,Cash,Completed,Delhi,26668.92,2023,7,8
861,862,5033,2023-12-30,Laptop,Electronics,8,2188.58,Credit Card,Returned,Pune,17508.64,2023,12,30
866,867,9389,2023-07-05,Headphones,Electronics,20,854.13,Credit Card,Completed,Kolkata,17082.6,2023,7,5
875,876,9669,2023-08-16,Shoes,Electronics,18,895.81,PayPal,Completed,Mumbai,16124.58,2023,8,16
881,882,3336,2024-08-25,TV,Electronics,18,2415.6,Credit Card,Completed,Mumbai,43480.8,2024,8,25
884,885,3645,2023-02-26,Shoes,Electronics,20,2365.2,PayPal,Completed,Bangalore,47304.0,2023,2,26
887,888,7028,2024-02-12,Shoes,Electronics,20,1019.32,PayPal,Completed,Pune,20386.4,2024,2,12
889,890,7371,2024-01-04,Shoes,Electronics,24,421.17,Debit Card,Completed,Bangalore,10108.08,2024,1,4
890,891,7359,2023-11-20,Laptop,Electronics,24,1549.09,PayPal,Completed,Bangalore,37178.16,2023,11,20
893,894,4719,2024-11-30,Mobile,Electronics,7,699.01,Debit Card,Completed,Bangalore,4893.07,2024,11,30
896,897,4756,2024-06-26,Mobile,Electronics,20,1226.37,Credit Card,Completed,Chennai,24527.4,2024,6,26
898,899,1094,2023-10-13,Laptop,Electronics,5,1587.42,Cash,Completed,Kolkata,7937.1,2023,10,13
900,901,7898,2024-11-11,Mobile,Electronics,10,2031.98,Debit Card,Returned,Mumbai,20319.8,2024,11,11
905,906,1814,2024-12-18,Laptop,Electronics,20,2461.61,UPI,Completed,Mumbai,49232.2,2024,12,18
906,907,1345,2024-12-21,Mobile,Electronics,12,2083.7,UPI,Completed,Chennai,25004.4,2024,12,21
912,913,1827,2024-08-10,Watch,Electronics,4,1093.67,UPI,Completed,Mumbai,4374.68,2024,8,10
913,914,4531,2024-09-21,Shoes,Electronics,10,1032.41,PayPal,Completed,Mumbai,10324.1,2024,9,21
916,917,4876,2024-06-28,Tablet,Electronics,20,564.55,PayPal,Completed,Mumbai,11291.0,2024,6,28
920,921,9795,2023-08-29,Camera,Electronics,10,1970.04,PayPal,Completed,Chennai,19700.4,2023,8,29
926,927,4797,2024-08-28,Camera,Electronics,6,2221.62,PayPal,Returned,Bangalore,13329.72,2024,8,28
933,934,3872,2024-10-09,Tablet,Electronics,14,955.29,Debit Card,Cancelled,Delhi,13374.06,2024,10,9
938,939,7514,2024-12-12,Mobile,Electronics,4,1565.23,PayPal,Completed,Chennai,6260.92,2024,12,12
944,945,7456,2024-06-01,Shoes,Electronics,19,986.49,PayPal,Cancelled,Kolkata,18743.31,2024,6,1
949,950,2625,2024-11-06,Headphones,Electronics,7,2152.04,Debit Card,Completed,Chennai,15064.28,2024,11,6
964,965,7320,2023-12-21,Camera,Electronics,13,828.8,UPI,Completed,Chennai,10774.4,2023,12,21
969,970,1966,2024-02-29,Camera,Electronics,20,242.98,Credit Card,Completed,Kolkata,4859.6,2024,2,29
977,978,7704,2023-10-30,Tablet,Electronics,6,1707.56,Debit Card,Completed,Bangalore,10245.36,2023,10,30
978,979,5422,2023-07-29,Laptop,Electronics,8,1940.6,Cash,Completed,Delhi,15524.8,2023,7,29
985,986,3717,2023-08-05,Tablet,Electronics,12,2224.63,Cash,Returned,Kolkata,26695.56,2023,8,5
995,996,6232,2024-02-28,Mobile,Electronics,24,507.29,UPI,Completed,Kolkata,12174.96,2024,2,28
1006,1007,8643,2024-06-13,Tablet,Electronics,10,1118.99,PayPal,Completed,Delhi,11189.9,2024,6,13
1007,1008,4462,2023-01-07,Headphones,Electronics,17,598.67,PayPal,Completed,Mumbai,10177.39,2023,1,7
1008,1009,1832,2023-07-07,Laptop,Electronics,6,1313.78,Debit Card,Completed,Kolkata,7882.68,2023,7,7
1019,1020,8970,2023-08-20,Headphones,Electronics,3,2356.27,Credit Card,Completed,Mumbai,7068.81,2023,8,20
1027,1028,6005,2023-08-16,Shoes,Electronics,18,488.75,Credit Card,Cancelled,Hyderabad,8797.5,2023,8,16
1046,1047,5491,2024-07-11,Camera,Electronics,7,830.74,Credit Card,Completed,Mumbai,5815.18,2024,7,11
1053,1054,2387,2023-10-11,Tablet,Electronics,5,2225.86,PayPal,Completed,Hyderabad,11129.3,2023,10,11
1056,1057,9173,2024-07-26,Shoes,Electronics,14,348.48,UPI,Cancelled,Delhi,4878.72,2024,7,26
1062,1063,3599,2024-02-27,Camera,Electronics,8,1145.14,UPI,Cancelled,Hyderabad,9161.12,2024,2,27
1075,1076,7981,2024-02-10,Headphones,Electronics,19,948.66,Credit Card,Completed,Chennai,18024.54,2024,2,10
1076,1077,6475,2024-07-22,Mobile,Electronics,13,2481.86,Debit Card,Completed,Bangalore,32264.18,2024,7,22
1078,1079,8184,2023-08-19,Laptop,Electronics,16,1853.81,UPI,Cancelled,Mumbai,29660.96,2023,8,19
1104,1105,9340,2024-12-15,Camera,Electronics,12,2251.99,UPI,Completed,Kolkata,27023.88,2024,12,15
1113,1114,3711,2024-02-21,Camera,Electronics,18,1976.36,UPI,Completed,Chennai,35574.48,2024,2,21
1125,1126,1153,2024-12-23,Shoes,Electronics,11,431.2,Debit Card,Completed,Delhi,4743.2,2024,12,23
1131,1132,6760,2023-09-03,Camera,Electronics,9,701.36,Debit Card,Completed,Bangalore,6312.24,2023,9,3
1132,1133,2240,2024-03-24,Mobile,Electronics,15,1387.44,Debit Card,Cancelled,Delhi,20811.6,2024,3,24
1142,1143,8009,2024-05-29,Headphones,Electronics,4,1415.55,Cash,Cancelled,Pune,5662.2,2024,5,29
1145,1146,5090,2023-09-26,Headphones,Electronics,19,920.24,UPI,Completed,Hyderabad,17484.56,2023,9,26
1168,1169,9044,2023-07-28,Shoes,Electronics,18,1635.77,UPI,Returned,Pune,29443.86,2023,7,28
1169,1170,9238,2023-02-06,Shoes,Electronics,16,1643.54,UPI,Completed,Bangalore,26296.64,2023,2,6
1170,1171,5873,2024-08-27,Watch,Electronics,9,465.97,Debit Card,Cancelled,Bangalore,4193.73,2024,8,27
1174,1175,8124,2023-05-28,Watch,Electronics,24,1966.6,PayPal,Completed,Chennai,47198.4,2023,5,28
1175,1176,4157,2024-02-01,Tablet,Electronics,5,1459.77,Debit Card,Completed,Bangalore,7298.85,2024,2,1
1177,1178,5430,2024-05-17,TV,Electronics,12,1235.0,Cash,Completed,Pune,14820.0,2024,5,17
1193,1194,6392,2024-02-27,Headphones,Electronics,15,2035.46,Cash,Completed,Pune,30531.9,2024,2,27
1195,1196,4223,2023-12-30,Headphones,Electronics,22,2405.01,Debit Card,Completed,Bangalore,52910.22,2023,12,30
1204,1205,8694,2023-08-16,Laptop,Electronics,7,2341.99,Debit Card,Returned,Pune,16393.93,2023,8,16
1212,1213,4241,2023-02-06,Shoes,Electronics,9,2123.12,Cash,Completed,Chennai,19108.08,2023,2,6
1227,1228,5435,2023-01-29,Watch,Electronics,17,699.25,PayPal,Completed,Delhi,11887.25,2023,1,29
1249,1250,2868,2023-05-10,Tablet,Electronics,10,2164.97,Debit Card,Cancelled,Mumbai,21649.7,2023,5,10
1253,1254,6429,2023-05-29,Watch,Electronics,10,1595.47,UPI,Cancelled,Mumbai,15954.7,2023,5,29
1255,1256,2389,2024-10-22,Headphones,Electronics,23,2135.0,Credit Card,Completed,Hyderabad,49105.0,2024,10,22
1256,1257,8274,2024-07-05,Watch,Electronics,4,1833.51,Credit Card,Completed,Delhi,7334.04,2024,7,5
1261,1262,4845,2023-07-18,Headphones,Electronics,15,852.38,UPI,Completed,Delhi,12785.7,2023,7,18
1275,1276,1892,2023-01-22,TV,Electronics,24,375.16,UPI,Completed,Mumbai,9003.84,2023,1,22
1276,1277,5675,2024-12-30,Tablet,Electronics,11,1762.83,UPI,Completed,Delhi,19391.13,2024,12,30
1277,1278,2933,2023-03-13,Camera,Electronics,7,1594.44,Cash,Returned,Hyderabad,11161.08,2023,3,13
1280,1281,2640,2024-12-07,Watch,Electronics,7,2028.27,Debit Card,Completed,Mumbai,14197.89,2024,12,7
1287,1288,1974,2023-01-08,Mobile,Electronics,4,1017.07,Debit Card,Cancelled,Bangalore,4068.28,2023,1,8
1297,1298,6233,2024-08-26,Tablet,Electronics,3,2183.81,Debit Card,Completed,Pune,6551.43,2024,8,26
1298,1299,1317,2023-08-15,Mobile,Electronics,15,1658.02,UPI,Returned,Mumbai,24870.3,2023,8,15
1299,1300,3396,2024-06-01,Headphones,Electronics,10,1390.52,Credit Card,Completed,Mumbai,13905.2,2024,6,1
1303,1304,7183,2024-01-12,Tablet,Electronics,4,1129.59,Cash,Completed,Pune,4518.36,2024,1,12
1311,1312,2704,2023-04-30,Tablet,Electronics,20,721.86,Debit Card,Completed,Mumbai,14437.2,2023,4,30
1314,1315,3604,2024-03-05,Tablet,Electronics,7,1841.52,Cash,Completed,Delhi,12890.64,2024,3,5
1318,1319,5795,2024-03-27,TV,Electronics,19,1121.05,Debit Card,Completed,Pune,21299.95,2024,3,27
1323,1324,8561,2024-07-09,Watch,Electronics,15,1494.65,UPI,Cancelled,Delhi,22419.75,2024,7,9
1324,1325,3719,2024-05-11,Camera,Electronics,12,859.7,Cash,Completed,Delhi,10316.4,2024,5,11
1328,1329,3403,2024-02-14,TV,Electronics,6,787.89,Debit Card,Completed,Pune,4727.34,2024,2,14
1331,1332,6343,2023-07-30,Camera,Electronics,2,2285.53,UPI,Completed,Bangalore,4571.06,2023,7,30
1335,1336,5543,2024-09-03,Shoes,Electronics,3,1709.37,PayPal,Cancelled,Mumbai,5128.11,2024,9,3
1337,1338,6445,2024-10-20,Laptop,Electronics,7,2237.89,UPI,Returned,Bangalore,15665.23,2024,10,20
1342,1343,6084,2023-03-31,Shoes,Electronics,16,1839.46,UPI,Completed,Hyderabad,29431.36,2023,3,31
1343,1344,1277,2023-09-30,TV,Electronics,9,1088.08,Credit Card,Completed,Mumbai,9792.72,2023,9,30
1344,1345,8059,2023-12-07,TV,Electronics,2,2276.89,UPI,Returned,Delhi,4553.78,2023,12,7
1350,1351,3752,2024-01-25,Shoes,Electronics,21,1543.14,Debit Card,Completed,Bangalore,32405.94,2024,1,25
1359,1360,5811,2024-06-03,TV,Electronics,17,1405.8,PayPal,Returned,Hyderabad,23898.6,2024,6,3
1364,1365,6126,2023-01-04,Headphones,Electronics,20,822.45,Cash,Completed,Kolkata,16449.0,2023,1,4
1373,1374,3844,2024-12-13,Tablet,Electronics,14,824.64,PayPal,Completed,Kolkata,11544.96,2024,12,13
1380,1381,4778,2024-11-06,Headphones,Electronics,23,561.17,Credit Card,Completed,Kolkata,12906.91,2024,11,6
